Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3d printed case","Project enclosure",1,12.00,"https://stasis.hackclub.com/dashboard/projects/cmo77hxz701ri01s4xif7aua0","printing-legion"
"PIR Motion Detector Module","For detecting sudden movements",1,1.50,"https://www.aliexpress.com/item/1005005140420875.html","Aliexpress"
